,addr,초등학교,중학교,고등학교
1050,인천광역시 서구 신현동,3개,3개,1개
1051,인천광역시 서구 심곡동,2개,0개,0개
1052,인천광역시 서구 연희동,1개,1개,1개
1053,인천광역시 서구 오류동,1개,0개,0개
1054,인천광역시 서구 왕길동,1개,0개,0개
1055,인천광역시 서구 원당동,1개,0개,1개
1056,인천광역시 서구 원당동 산,1개,0개,0개
1057,인천광역시 서구 청라동,7개,4개,4개
1058,인천광역시 서구 청라동 ,1개,2개,0개
1059,인천광역시 연수구 동춘동,6개,3개,3개
1060,인천광역시 연수구 동춘동 ,1개,0개,0개
1061,인천광역시 연수구 선학동,1개,1개,0개
1062,인천광역시 연수구 송도동,15개,4개,6개
1063,인천광역시 연수구 연수동,5개,3개,3개
1064,인천광역시 연수구 옥련동,4개,2개,3개
1065,인천광역시 연수구 청학동,1개,2개,1개
1066,인천광역시 옹진군 대청면 대청리,1개,1개,1개
1067,인천광역시 옹진군 대청면 소청리,1개,0개,0개
1068,인천광역시 옹진군 덕적면 진리,1개,1개,1개
1069,인천광역시 옹진군 백령면 북포리,1개,1개,1개
1070,인천광역시 옹진군 백령면 진촌리,1개,0개,0개
1071,인천광역시 옹진군 북도면 신도리,1개,0개,0개
1072,인천광역시 옹진군 북도면 장봉리,1개,0개,0개
1073,인천광역시 옹진군 연평면 연평리,1개,1개,1개
1074,인천광역시 옹진군 영흥면 내리,1개,1개,1개
1075,인천광역시 옹진군 자월면 승봉리,1개,0개,0개
1076,인천광역시 옹진군 자월면 이작리,1개,0개,0개
1077,인천광역시 옹진군 자월면 자월리,1개,0개,0개
1078,인천광역시 중구 남북동,1개,1개,0개
1079,인천광역시 중구 답동,1개,1개,0개
1080,인천광역시 중구 무의동,1개,0개,0개
1081,인천광역시 중구 송학동2가,1개,0개,1개
1082,인천광역시 중구 신흥동3가,2개,1개,0개
1083,인천광역시 중구 운남동,2개,1개,1개
1084,인천광역시 중구 운북동 ,1개,0개,0개
1085,인천광역시 중구 운서동,2개,1개,4개
1086,인천광역시 중구 운서동 ,1개,0개,1개
1087,인천광역시 중구 전동,1개,0개,2개
1088,인천광역시 중구 중산동,3개,0개,1개
1089,인천광역시 중구 항동7가,1개,0개,0개
