,address,공시가격,좌표,초등학교,중학교,고등학교,학원,유치원 및 어린이집,병의원 및 약국,보건소,응급의료기관시설,백화점,대형마트,복합쇼핑센터,시장,헬스장,수영장,체육관,공원,영화관,카페,도서관,놀이터,경로당,사회복지관,등산로,산책로,미세먼지,범죄안전등급,경찰관서,여성안심지킴이집
112,서울특별시 마포구 합정동,414969572.4,"37.549046,126.911558",1,1,0,33,2,43,0,0,0,0,0,1,1,0,0,2,0,112,0,1,4,0,0,0,34,3,0,3
113,서울특별시 마포구 현석동,1150094444.0,"37.543840,126.933903",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,5,0,0,0,34,3,0,0
114,서울특별시 서대문구 남가좌동,766735937.5,"37.577538,126.922311",2,1,0,84,8,90,0,0,0,0,0,2,1,1,0,2,0,66,2,8,13,1,0,0,32,2,1,0
115,서울특별시 서대문구 냉천동,962195652.2,"37.567257,126.963890",0,0,0,16,0,7,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,32,2,0,0
116,서울특별시 서대문구 대신동,357500000.0,"37.566438,126.945199",1,1,1,4,0,5,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,35,0,32,2,0,2
117,서울특별시 서대문구 대현동,401219144.4,"37.558086,126.944504",1,0,0,20,4,19,0,0,0,0,0,0,0,0,0,1,1,102,0,0,2,0,0,0,32,2,1,2
118,서울특별시 서대문구 미근동,822500000.0,"37.563162,126.967026",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,32,2,0,0
119,서울특별시 서대문구 봉원동,505000000.0,"37.569952,126.947063",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,32,2,0,0
120,서울특별시 서대문구 북가좌동,544091778.5,"37.580344,126.912261",1,1,1,136,6,75,1,0,0,0,0,1,1,1,0,1,0,58,3,6,23,0,0,0,32,2,1,4
121,서울특별시 서대문구 북아현동,1116816521.0,"37.561666,126.956170",2,2,2,43,2,32,0,0,0,0,0,0,0,0,0,2,0,27,1,4,11,1,52,0,32,2,0,1
122,서울특별시 서대문구 신촌동,723800000.0,"37.568134,126.946792",0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3,28,0,0,1,0,169,0,32,2,0,0
123,서울특별시 서대문구 연희동,459913753.8,"37.570389,126.929628",1,3,0,68,2,50,1,0,0,0,0,1,2,0,0,1,1,132,2,8,11,0,250,0,32,2,1,4
124,서울특별시 서대문구 영천동,906392156.9,"37.570759,126.960460",0,0,0,9,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,17,0,32,2,0,0
125,서울특별시 서대문구 옥천동,461100000.0,"37.569686,126.960890",0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,8,0,32,2,1,0
126,서울특별시 서대문구 창천동,641737058.8,"37.558584,126.934113",1,0,0,53,2,64,0,0,1,0,0,0,4,0,0,2,7,108,0,1,1,0,0,0,32,2,0,3
127,서울특별시 서대문구 천연동,625561224.5,"37.568285,126.960571",1,1,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,18,0,32,2,0,0
128,서울특별시 서대문구 충정로2가,346833333.3,"37.565192,126.964529",1,1,1,4,0,16,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,32,2,0,1
129,서울특별시 서대문구 충정로3가,779227191.0,"37.562611,126.961351",0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,29,1,0,1,0,0,0,32,2,0,0
130,서울특별시 서대문구 합동,621854166.7,"37.561567,126.966566",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,32,2,0,0
131,서울특별시 서대문구 현저동,779542857.1,"37.576486,126.954220",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,7,0,55,0,32,2,0,1
132,서울특별시 서대문구 홍은동,419292021.0,"37.591560,126.938775",3,3,1,117,6,45,0,1,0,0,0,0,1,0,0,3,0,61,3,6,21,1,422,1,32,2,2,0
133,서울특별시 서대문구 홍제동,536772409.2,"37.588734,126.946107",4,1,0,142,11,132,0,0,0,0,0,1,3,1,0,6,0,57,3,4,28,0,176,1,32,2,1,3
